prompt,path,gender,age,race
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_0_linear.png,--,--,--
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_1_linear.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_2_linear.png,Male,(25-32),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_3_linear.png,Male,(25-32),indian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_4_linear.png,--,--,--
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_5_linear.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_6_linear.png,Female,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_7_linear.png,Male,(25-32),indian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_8_linear.png,Male,(25-32),black
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_9_linear.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_10_linear.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_11_linear.png,Male,(25-32),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_12_linear.png,Male,(25-32),black
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_13_linear.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_14_linear.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_15_linear.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_16_linear.png,Male,(25-32),indian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_17_linear.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_18_linear.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_19_linear.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_20_linear.png,Male,(25-32),black
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear/ceo/profile_21_linear.png,Male,(25-32),black
