prompt,path,gender,age,race
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_0_linear2.png,Male,(8-12),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_1_linear2.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_2_linear2.png,Male,(48-53),indian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_3_linear2.png,--,--,--
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_4_linear2.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_5_linear2.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_6_linear2.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_7_linear2.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_8_linear2.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_9_linear2.png,Female,(25-32),black
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_10_linear2.png,Male,(8-12),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_11_linear2.png,Male,(8-12),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_12_linear2.png,Female,(25-32),black
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_13_linear2.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_14_linear2.png,Male,(8-12),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_15_linear2.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_linear2/ceo/profile_16_linear2.png,Male,(25-32),asian
