prompt,path,gender,age,race
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_0_poly.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_1_poly.png,Male,(25-32),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_2_poly.png,Male,(25-32),black
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_3_poly.png,Female,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_4_poly.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_5_poly.png,Male,(25-32),indian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_6_poly.png,Female,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_7_poly.png,Male,(25-32),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_8_poly.png,Female,(8-12),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_9_poly.png,Female,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_10_poly.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_11_poly.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_12_poly.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_13_poly.png,Male,(15-20),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_14_poly.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_15_poly.png,Male,(8-12),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_16_poly.png,Male,(25-32),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_17_poly.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_18_poly.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_19_poly.png,Male,(25-32),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_20_poly.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_21_poly.png,Male,(8-12),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_22_poly.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_23_poly.png,Male,(38-43),race
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_24_poly.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_25_poly.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_26_poly.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_27_poly.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_28_poly.png,Male,(25-32),latino hispanic
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_29_poly.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_30_poly.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_31_poly.png,Male,(25-32),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_32_poly.png,Male,(25-32),asian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_33_poly.png,Male,(25-32),white
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_34_poly.png,Male,(25-32),indian
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_35_poly.png,Male,(25-32),middle eastern
ceo,/content/drive/MyDrive/Master/dreambooth_results/Dreambooth_poly/ceo/profile_36_poly.png,Male,(25-32),white
