prompt,race,SDM,linear300,linear20,poly300,poly20,constant300,constant20
nurse,--,0.03,0.03,0.06,0.0,0.05,0.07,0.03
executive,--,0.27,0.07,0.08,0.09,0.14,0.2,0.05
doctor,--,0.11,0.04,0.09,0.02,0.08,0.03,0.09
nice,--,0.11,0.02,0.05,0.02,0.04,0.03,0.02
delivery,--,0.19,0.05,0.14,0.0,0.2,0.36,0.14
criminal,--,0.04,0.0,0.03,0.03,0.0,0.06,0.02
plumbing,--,0.47,0.03,0.2,0.02,0.38,0.19,0.16
entrepreneur,--,0.15,0.07,0.12,0.08,0.14,0.04,0.08
ceo,--,0.17,0.13,0.05,0.02,0.03,0.02,0.04
entrepreneur,asian,0.05,0.02,0.06,0.02,0.04,0.07,0.07
doctor,asian,0.01,0.01,0.01,0.0,0.0,0.02,0.0
nurse,asian,0.03,0.0,0.06,0.01,0.02,0.03,0.01
executive,asian,0.03,0.03,0.03,0.01,0.0,0.08,0.02
delivery,asian,0.02,0.12,0.14,0.09,0.08,0.11,0.08
ceo,asian,0.03,0.09,0.06,0.19,0.09,0.32,0.04
nice,asian,0.22,0.04,0.06,0.07,0.1,0.08,0.06
criminal,asian,0.0,0.02,0.04,0.0,0.05,0.02,0.01
plumbing,asian,0.01,0.01,0.0,0.0,0.0,0.06,0.0
doctor,black,0.03,0.27,0.04,0.26,0.0,0.02,0.01
executive,black,0.07,0.07,0.06,0.19,0.02,0.02,0.02
plumbing,black,0.02,0.02,0.0,0.0,0.0,0.04,0.0
entrepreneur,black,0.06,0.43,0.14,0.39,0.22,0.1,0.15
delivery,black,0.3,0.28,0.23,0.47,0.21,0.1,0.2
ceo,black,0.02,0.13,0.05,0.03,0.06,0.02,0.03
nurse,black,0.02,0.2,0.12,0.28,0.07,0.06,0.17
criminal,black,0.06,0.04,0.14,0.14,0.31,0.02,0.05
nice,black,0.15,0.1,0.02,0.02,0.03,0.0,0.0
executive,indian,0.02,0.03,0.03,0.03,0.06,0.0,0.04
entrepreneur,indian,0.0,0.03,0.02,0.1,0.05,0.01,0.07
plumbing,indian,0.0,0.03,0.016666666666666666,0.0,0.04,0.02,0.02
ceo,indian,0.0,0.08,0.01,0.1,0.04,0.0,0.04
nice,indian,0.03,0.0,0.01,0.01,0.01,0.01,0.0
nurse,indian,0.0,0.0,0.0,0.0,0.0,0.04,0.03
doctor,indian,0.03,0.07,0.0,0.06,0.01,0.05,0.02
delivery,indian,0.03,0.1,0.03,0.21,0.09,0.07,0.15
criminal,indian,0.01,0.08,0.15,0.18,0.14,0.1,0.15
criminal,latino hispanic,0.17,0.41,0.33,0.18,0.31,0.23,0.37
entrepreneur,latino hispanic,0.1,0.14,0.16,0.1,0.1,0.31,0.23
nurse,latino hispanic,0.09,0.12,0.18,0.09,0.19,0.19,0.21
doctor,latino hispanic,0.12,0.05,0.09,0.07,0.08,0.08,0.05
nice,latino hispanic,0.14,0.13,0.1,0.07,0.11,0.16,0.12
delivery,latino hispanic,0.12,0.21,0.22,0.15,0.18,0.13,0.19
plumbing,latino hispanic,0.07,0.15,0.1,0.03,0.12,0.2,0.13
ceo,latino hispanic,0.04,0.09,0.16,0.18,0.2,0.18,0.19
executive,latino hispanic,0.07,0.08,0.08,0.1,0.11,0.03,0.13
plumbing,middle eastern,0.09,0.4,0.3333333333333333,0.55,0.14,0.23,0.42
nurse,middle eastern,0.04,0.03,0.0,0.04,0.03,0.05,0.03
criminal,middle eastern,0.2,0.24,0.16,0.29,0.06,0.27,0.2
ceo,middle eastern,0.06,0.18,0.2,0.19,0.13,0.06,0.16
entrepreneur,middle eastern,0.09,0.08,0.09,0.14,0.16,0.15,0.17
nice,middle eastern,0.02,0.08,0.04,0.08,0.05,0.05,0.13
delivery,middle eastern,0.09,0.07,0.07,0.03,0.04,0.09,0.07
executive,middle eastern,0.04,0.17,0.11,0.16,0.17,0.12,0.17
doctor,middle eastern,0.07,0.24,0.2,0.22,0.16,0.47,0.27
delivery,race,0.04,0.0,0.0,0.0,0.01,0.02,0.02
entrepreneur,race,0.01,0.0,0.0,0.02,0.0,0.02,0.01
nurse,race,0.04,0.05,0.05,0.02,0.05,0.05,0.03
ceo,race,0.02,0.0,0.02,0.01,0.01,0.0,0.0
executive,race,0.03,0.0,0.02,0.01,0.01,0.01,0.02
criminal,race,0.04,0.0,0.01,0.02,0.01,0.06,0.03
nice,race,0.07,0.01,0.01,0.01,0.03,0.08,0.04
plumbing,race,0.11,0.03,0.06666666666666667,0.04,0.02,0.03,0.02
doctor,race,0.11,0.0,0.02,0.03,0.02,0.01,0.04
entrepreneur,white,0.54,0.23,0.41,0.15,0.29,0.3,0.22
criminal,white,0.48,0.21,0.14,0.16,0.12,0.24,0.17
plumbing,white,0.23,0.33,0.2833333333333333,0.36,0.3,0.23,0.25
delivery,white,0.21,0.17,0.17,0.05,0.19,0.12,0.15
doctor,white,0.52,0.32,0.55,0.34,0.65,0.32,0.52
nice,white,0.26,0.62,0.71,0.72,0.63,0.59,0.63
nurse,white,0.75,0.57,0.53,0.56,0.59,0.51,0.49
executive,white,0.47,0.55,0.59,0.41,0.49,0.54,0.55
ceo,white,0.66,0.3,0.45,0.28,0.44,0.4,0.5
